Image, Manual label, Manual area, OrganoID label, OrganoID area
PDAC9.png, 17, 7049.738800, 45, 6308.383600
PDAC9.png, 18, 4997.283200, 47, 7125.247200
PDAC9.png, 19, 2471.184000, 48, 2381.946800
PDAC9.png, 20, 2024.998000, 49, 2258.387600
PDAC9.png, 21, 2821.268400, 65, 1626.862800
PDAC9.png, 22, 3439.064400, 54, 3576.352400
PDAC9.png, 23, 3624.403200, 55, 4036.267200
PDAC9.png, 24, 8305.924000, 57, 6933.044000
PDAC9.png, 25, 16687.356400, 60, 15994.052000
PDAC9.png, 26, 4077.453600, 63, 4008.809600
PDAC9.png, 27, 2821.268400, 68, 2546.692400
PDAC9.png, 28, 4949.232400, 73, 4434.402400
PDAC9.png, 29, 3603.810000, 76, 3226.268000
PDAC9.png, 30, 5875.926400, 78, 4901.181600
PDAC9.png, 31, 4969.825600, 81, 4297.114400
PDAC9.png, 32, 5930.841600, 84, 3191.946000
PDAC9.png, 33, 3342.962800, 86, 3260.590000
PDAC9.png, 34, 3082.115600, 89, 2951.692000
PDAC9.png, 37, 3013.471600, 2, 3109.573200
PDAC9.png, 38, 2162.286000, 3, 2512.370400
PDAC9.png, 39, 5999.485600, 9, 5532.706400
PDAC9.png, 44, 2148.557200, 18, 3747.962400
PDAC9.png, 45, 1750.422000, 62, 1441.524000
PDAC9.png, 56, 2917.370000, 43, 3102.708800
PDAC9.png, 60, 4454.995600, 51, 5093.384800
PDAC9.png, 61, 2292.709600, 52, 2725.166800
PDAC9.png, 62, 1860.252400, 53, 2244.658800
PDAC9.png, 65, 3082.115600, 58, 4201.012800
PDAC9.png, 71, 1482.710400, 87, 2642.794000
PDAC9.png, 74, 1434.659600, 77, 1551.354400
PDAC9.png, 75, 2265.252000, 79, 2615.336400
PDAC9.png, 77, 1592.540800, 88, 1400.337600
PDAC10.png, 1, 3734.233600, 4, 3500.844000
PDAC10.png, 2, 2999.742800, 5, 2834.997200
PDAC10.png, 3, 3253.725600, 17, 3391.013600
PDAC10.png, 4, 3150.759600, 20, 3061.522400
PDAC10.png, 5, 6665.332400, 22, 5313.045600
PDAC10.png, 6, 4173.555200, 26, 4022.538400
PDAC10.png, 7, 2107.370800, 27, 1832.794800
PDAC10.png, 8, 3198.810400, 29, 3075.251200
PDAC10.png, 9, 5203.215200, 36, 4757.029200
PDAC10.png, 10, 1743.557600, 37, 1901.438800
PDAC10.png, 11, 9719.990400, 38, 7578.297600
PDAC10.png, 12, 3459.657600, 44, 3617.538800
PDAC10.png, 13, 3514.572800, 47, 3384.149200
PDAC10.png, 14, 5553.299600, 48, 5127.706800
PDAC10.png, 15, 3535.166000, 50, 2979.149600
PDAC10.png, 16, 6493.722400, 55, 4997.283200
PDAC10.png, 17, 12266.682800, 58, 8065.670000
PDAC10.png, 18, 2539.828000, 64, 2327.031600
PDAC10.png, 19, 5100.249200, 67, 3315.505200
PDAC10.png, 23, 3507.708400, 1, 1661.184800
PDAC10.png, 29, 2024.998000, 8, 2189.743600
PDAC10.png, 30, 2532.963600, 9, 2697.709200
PDAC10.png, 31, 2450.590800, 11, 2677.116000
PDAC10.png, 35, 4310.843200, 18, 1619.998400
PDAC10.png, 48, 2251.523200, 35, 2031.862400
PDAC10.png, 50, 1716.100000, 40, 1661.184800
PDAC10.png, 52, 3445.928800, 42, 2786.946400
PDAC10.png, 57, 3040.929200, 51, 3487.115200
PDAC10.png, 59, 3267.454400, 53, 3143.895200
PDAC10.png, 60, 4043.131600, 59, 2491.777200
PDAC10.png, 64, 2704.573600, 62, 1565.083200
PDAC10.png, 65, 1558.218800, 65, 1441.524000
