Image name, Organoid label, area, perimeter
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_12, 7, 1439, 144.0243866176395
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_12, 8, 357, 69.35533905932738
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_12, 9, 1142, 124.5685424949238
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_12, 10, 856, 107.49747468305833
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_12, 11, 375, 70.76955262170047
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_12, 12, 515, 82.42640687119285
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_12, 13, 471, 81.84062043356595
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_12, 14, 1381, 155.4386001800126
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_12, 15, 405, 73.35533905932738
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_12, 17, 320, 64.62741699796952
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_12, 18, 286, 60.04163056034261
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_12, 20, 113, 39.798989873223334
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_12, 21, 270, 59.94112549695428
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_12, 22, 259, 58.04163056034261
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_12, 24, 153, 46.2842712474619
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_12, 26, 159, 44.62741699796952
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_12, 28, 473, 81.35533905932738
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_12, 30, 261, 57.45584412271571
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_12, 32, 447, 84.5269119345812
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_13, 1, 450, 78.42640687119285
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_13, 2, 2395, 189.82337649086284
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_13, 3, 667, 96.5685424949238
20210127_organoidplate003_XY36_Z3_C2_detected_labeled_13, 4, 1834, 158.95331880577405
